loan_id,report_date,principal_balance,principal_debt,principal_paid,interest_paid,maintenance_fee_paid
528f035d88813fe1810913c4eafec1eb,2024-03-07,238.86,0.0,24.93,3.3,3.54
528f035d88813fe1810913c4eafec1eb,2024-04-06,213.62,0.0,25.24,2.98,3.54
84b6e401d644455f4a300ad50da434b5,2024-02-16,404.98,0.0,19.47,6.17,0.0
84b6e401d644455f4a300ad50da434b5,2024-03-17,385.22,0.0,19.76,6.09,0.0
528f035d88813fe1810913c4eafec1eb,2024-05-09,188.06,0.0,25.56,2.67,3.54
84b6e401d644455f4a300ad50da434b5,2024-05-18,344.8,0.0,20.36,5.49,0.0
84b6e401d644455f4a300ad50da434b5,2024-04-18,365.16,0.0,20.06,5.79,0.0
bc973a3fdd683f9463e550c437fc177c,2023-05-08,3973.38,0.0,0.0,63.28,0.0
bc973a3fdd683f9463e550c437fc177c,2023-07-31,3962.31,0.0,11.07,106.86,0.0
056b1babb5ad46395074ec0c2e46d503,2023-08-01,1034.34,0.0,0.0,1.67,0.0
bc973a3fdd683f9463e550c437fc177c,2023-08-26,3961.6,10.54,0.71,0.0,0.0
056b1babb5ad46395074ec0c2e46d503,2023-07-27,1034.34,0.0,0.0,0.63,0.0
056b1babb5ad46395074ec0c2e46d503,2023-07-08,1034.34,0.0,0.0,9.25,0.0
056b1babb5ad46395074ec0c2e46d503,2023-07-06,1034.34,0.0,0.0,5.13,0.0
342fa183e1e3c47de93ce02f6360f753,2023-09-03,4160.14,0.0,44.76,63.25,0.0
bc973a3fdd683f9463e550c437fc177c,2023-04-10,3973.38,0.0,0.0,70.19,0.0
bc973a3fdd683f9463e550c437fc177c,2023-06-04,3973.38,0.0,0.0,0.62,0.0
056b1babb5ad46395074ec0c2e46d503,2023-08-31,1034.34,0.0,0.0,16.19,0.0
056b1babb5ad46395074ec0c2e46d503,2023-06-27,1034.34,0.0,0.0,11.97,0.0
bc973a3fdd683f9463e550c437fc177c,2023-05-05,3973.38,0.0,0.0,0.53,0.0
056b1babb5ad46395074ec0c2e46d503,2023-07-07,1034.34,0.0,0.0,7.98,0.0
056b1babb5ad46395074ec0c2e46d503,2023-04-27,1034.34,0.0,1.66,0.0,0.0
342fa183e1e3c47de93ce02f6360f753,2023-08-04,4204.9,0.0,44.1,12.78,0.0
056b1babb5ad46395074ec0c2e46d503,2023-08-27,1034.34,0.0,0.0,5.02,0.0
bc973a3fdd683f9463e550c437fc177c,2023-02-02,3973.46,0.0,0.0,65.93,0.0
e82689dc5b32ed24dd8d77b8434122f4,2023-01-26,521.58,0.0,99.42,6.65,0.0
bc973a3fdd683f9463e550c437fc177c,2023-01-02,3973.46,0.0,45.76,64.54,0.0
bc973a3fdd683f9463e550c437fc177c,2023-03-04,3973.38,0.0,0.08,63.81,0.0
e82689dc5b32ed24dd8d77b8434122f4,2023-01-27,0.0,0.0,521.58,7.54,0.0
056b1babb5ad46395074ec0c2e46d503,2023-09-05,1034.34,0.0,0.0,5.86,0.0
441097d4aa431223a03d96126fab09f3,2024-05-16,397.94,0.0,10.65,7.86,1.77
cf27b0941be0f2ffc024e929bd77431c,2024-06-14,7591.84,0.0,0.0,0.66,0.0
cf27b0941be0f2ffc024e929bd77431c,2024-05-16,7591.84,0.0,0.0,170.65,54.26
441097d4aa431223a03d96126fab09f3,2024-06-14,387.08,0.0,10.86,7.65,1.77
66a85284c5e65e8530f686ef1270f470,2024-06-15,395.58,0.0,7.45,6.0,1.77
66a85284c5e65e8530f686ef1270f470,2024-05-16,403.03,0.0,7.34,6.11,1.77
cbaedd02a5bff9eae9ee8553a303ea31,2024-06-14,80.27,0.0,1.38,1.31,0.3
cbaedd02a5bff9eae9ee8553a303ea31,2024-05-13,81.65,0.0,1.35,1.33,0.3
f726714ccf0b20eb8fd90e27fc8bc32a,2024-12-20,3317.35,0.0,54.61,50.72,12.17
755ada0e6dd477aeb7847f510282fdbc,2024-10-18,763.49,0.0,63.0,13.27,6.08
40c27b1e7386933e3f45517614588a98,2024-12-12,946.56,0.0,13.86,23.52,3.9
40c27b1e7386933e3f45517614588a98,2025-01-10,946.48,14.12,0.08,0.0,0.0
755ada0e6dd477aeb7847f510282fdbc,2025-01-16,568.36,0.0,66.08,10.19,6.08
755ada0e6dd477aeb7847f510282fdbc,2024-11-15,699.48,0.0,64.01,12.26,6.08
40c27b1e7386933e3f45517614588a98,2024-10-18,973.95,0.0,13.2,24.18,3.9
40c27b1e7386933e3f45517614588a98,2025-01-12,932.36,0.0,14.12,23.18,3.9
f726714ccf0b20eb8fd90e27fc8bc32a,2024-10-19,3425.76,0.0,53.0,52.33,12.17
40c27b1e7386933e3f45517614588a98,2024-11-19,960.42,0.0,13.53,23.85,3.9
76dcac581f9f251fb2248a9e74f0a7e4,2024-10-31,3747.17,0.0,13.16,60.38,12.17
76dcac581f9f251fb2248a9e74f0a7e4,2024-12-30,3699.0,0.0,13.51,59.62,12.0
f726714ccf0b20eb8fd90e27fc8bc32a,2025-01-16,3261.92,0.0,55.43,49.9,12.17
84b7521a8d1891e22bbfeb1dc6337815,2024-11-18,577.35,577.35,382.64,0.0,0.0
755ada0e6dd477aeb7847f510282fdbc,2024-12-20,634.44,0.0,65.04,11.23,6.08
76dcac581f9f251fb2248a9e74f0a7e4,2024-11-29,3712.51,0.0,34.66,60.17,12.17
84b7521a8d1891e22bbfeb1dc6337815,2024-10-26,1019.95,1019.95,30.43,0.0,0.0
f726714ccf0b20eb8fd90e27fc8bc32a,2024-11-16,3371.96,0.0,53.8,51.53,12.17
342fa183e1e3c47de93ce02f6360f753,2024-01-04,3974.25,0.0,47.52,60.49,0.0
342fa183e1e3c47de93ce02f6360f753,2023-10-05,4114.7,0.0,45.44,62.58,0.0
342fa183e1e3c47de93ce02f6360f753,2024-02-02,3841.2,0.0,133.05,59.78,0.0
342fa183e1e3c47de93ce02f6360f753,2023-12-03,4021.77,0.0,46.81,61.2,0.0
342fa183e1e3c47de93ce02f6360f753,2023-11-02,4068.58,0.0,46.12,61.89,0.0
342fa183e1e3c47de93ce02f6360f753,2024-04-04,3729.01,0.0,58.88,56.98,0.0
342fa183e1e3c47de93ce02f6360f753,2024-03-03,3787.89,0.0,53.31,57.78,0.0
53fe40eab57a823bc5b1e86fe192bc34,2023-12-04,116.61,0.0,114.76,3.72,0.0
53fe40eab57a823bc5b1e86fe192bc34,2024-01-05,0.0,0.0,116.61,1.87,0.0
53fe40eab57a823bc5b1e86fe192bc34,2023-11-02,231.37,0.0,112.94,5.53,0.0
53fe40eab57a823bc5b1e86fe192bc34,2023-10-05,344.31,0.0,111.16,7.31,0.0
342fa183e1e3c47de93ce02f6360f753,2024-05-04,3679.86,0.0,49.15,56.09,0.0
d606bac68cbe04f3991fc71fd3744ff1,2022-12-01,522.98,0.0,4.06,12.97,1.77
cea1fac044cede17f0f31ced8fed549f,2022-11-12,209.57,0.0,2.43,1.41,0.38
d606bac68cbe04f3991fc71fd3744ff1,2022-10-29,527.04,0.0,3.96,7.41,1.0
0a09c3416f1d4303b7351637bdffd632,2022-12-02,4099.7,0.0,46.3,15.54,0.0
056b1babb5ad46395074ec0c2e46d503,2024-07-07,1034.34,0.0,0.0,2.56,0.0
056b1babb5ad46395074ec0c2e46d503,2024-07-14,1034.34,0.0,0.0,0.0,4.83
056b1babb5ad46395074ec0c2e46d503,2024-07-06,1034.34,0.0,0.0,25.34,0.0
bc973a3fdd683f9463e550c437fc177c,2024-09-23,3812.73,0.0,12.4,62.84,12.27
056b1babb5ad46395074ec0c2e46d503,2024-09-12,1034.34,0.0,0.0,32.77,0.0
056b1babb5ad46395074ec0c2e46d503,2024-07-13,1034.34,0.0,0.0,3.02,1.36
056b1babb5ad46395074ec0c2e46d503,2024-07-08,1034.34,0.0,0.0,3.05,0.0
056b1babb5ad46395074ec0c2e46d503,2024-09-16,1034.34,0.0,0.0,0.55,6.08
bc973a3fdd683f9463e550c437fc177c,2024-08-23,3825.13,0.0,12.2,63.03,12.27
bc973a3fdd683f9463e550c437fc177c,2024-07-01,3837.33,0.0,23.05,126.63,24.54
bc973a3fdd683f9463e550c437fc177c,2024-05-27,3860.38,11.04,0.78,0.0,0.0
056b1babb5ad46395074ec0c2e46d503,2024-11-20,1031.46,0.0,2.88,33.24,0.0
056b1babb5ad46395074ec0c2e46d503,2024-11-22,1031.46,0.0,0.0,1.17,6.29
bc973a3fdd683f9463e550c437fc177c,2024-11-04,3787.33,0.0,25.4,79.58,0.0
536b670dd791072b972d57658e75cae9,2024-11-15,5103.03,0.0,105.41,47.31,5.89
536b670dd791072b972d57658e75cae9,2024-08-17,5416.44,0.0,102.59,50.13,5.89
536b670dd791072b972d57658e75cae9,2024-06-17,5620.7,0.0,106.58,52.02,5.89
536b670dd791072b972d57658e75cae9,2024-07-18,5519.03,0.0,101.67,51.05,5.89
536b670dd791072b972d57658e75cae9,2024-10-18,5208.44,0.0,104.47,48.26,5.89
536b670dd791072b972d57658e75cae9,2024-09-19,5312.91,0.0,103.53,49.2,5.89
53b9acc46031a13e924bc4b7a07d2516,2022-12-09,419.41,0.0,5.59,3.44,1.47
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-04-12,492.8,0.0,0.0,7.92,0.0
10b3e745f946f86e93b48ca7e8728794,2024-04-12,1662.63,0.0,28.47,24.87,7.09
ee0fce37c5f727894bf3a9f7cc95a7cf,2024-03-01,0.0,0.0,46.88,0.01,0.17
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-02-29,494.07,0.0,0.0,0.76,0.0
a5ff4c87d588ea4c4b45d571df2b5ac2,2023-12-01,494.07,0.0,0.0,0.76,0.0
ee0fce37c5f727894bf3a9f7cc95a7cf,2023-12-30,3938.95,0.0,1173.99,46.02,5.0
c9bdb3d773011b22a6c2d1bf51dffdbf,2023-12-14,4498.37,0.0,43.61,103.33,15.95
a5ff4c87d588ea4c4b45d571df2b5ac2,2023-12-03,494.07,0.0,0.0,7.17,0.0
10b3e745f946f86e93b48ca7e8728794,2023-10-13,1828.5,0.0,27.25,27.3,7.09
ee0fce37c5f727894bf3a9f7cc95a7cf,2023-10-30,5221.98,0.0,108.07,47.97,5.0
a5ff4c87d588ea4c4b45d571df2b5ac2,2023-11-02,494.07,0.0,0.0,7.23,0.0
c9bdb3d773011b22a6c2d1bf51dffdbf,2023-11-11,4541.98,0.0,42.64,104.3,15.95
10b3e745f946f86e93b48ca7e8728794,2023-11-11,1802.02,0.0,26.48,26.0,7.09
a5ff4c87d588ea4c4b45d571df2b5ac2,2023-10-30,494.07,0.0,0.0,0.7,0.0
c9bdb3d773011b22a6c2d1bf51dffdbf,2023-10-13,4584.62,0.0,41.69,105.25,15.95
c9bdb3d773011b22a6c2d1bf51dffdbf,2024-01-11,4453.77,0.0,44.6,102.34,15.95
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-01-02,494.07,0.0,0.0,7.15,0.0
a5ff4c87d588ea4c4b45d571df2b5ac2,2023-12-31,494.07,0.0,0.0,0.78,0.0
10b3e745f946f86e93b48ca7e8728794,2024-01-11,1746.81,0.0,27.25,24.35,7.09
ee0fce37c5f727894bf3a9f7cc95a7cf,2023-12-01,5112.94,0.0,109.04,47.0,5.0
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-02-01,494.07,0.0,0.0,7.93,0.0
10b3e745f946f86e93b48ca7e8728794,2023-12-14,1774.06,0.0,27.96,26.5,7.09
ee0fce37c5f727894bf3a9f7cc95a7cf,2024-02-01,2004.44,0.0,1934.51,35.45,5.05
10b3e745f946f86e93b48ca7e8728794,2024-03-14,1691.1,0.0,28.06,25.29,7.09
ee0fce37c5f727894bf3a9f7cc95a7cf,2024-02-29,46.88,0.0,1957.56,16.84,5.05
10b3e745f946f86e93b48ca7e8728794,2024-02-11,1719.16,0.0,27.65,25.69,7.09
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-03-07,492.8,0.0,1.27,7.17,0.0
c9bdb3d773011b22a6c2d1bf51dffdbf,2024-03-14,4361.5,0.0,46.65,100.29,15.95
c9bdb3d773011b22a6c2d1bf51dffdbf,2024-02-11,4408.15,0.0,45.62,101.32,15.95
c9bdb3d773011b22a6c2d1bf51dffdbf,2024-04-12,4313.78,0.0,47.72,99.22,15.95
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-05-04,492.8,0.0,0.0,7.42,0.56
a5ff4c87d588ea4c4b45d571df2b5ac2,2024-05-02,492.8,0.0,0.0,0.49,0.0
d951f1695966e6ed0dd3bdab3db05319,2024-03-02,3632.36,0.0,12.04,58.52,12.17
2e0c41b0f5f3b478601ad3e3c69992a5,2024-03-15,3492.29,0.0,51.06,56.9,12.61
2e0c41b0f5f3b478601ad3e3c69992a5,2024-04-18,3440.41,0.0,51.88,56.08,12.61
21794ed61ee4b5a8960e19692ef938d7,2024-03-10,3036.94,0.0,0.0,34.33,12.5
d951f1695966e6ed0dd3bdab3db05319,2024-04-04,3606.4,0.0,25.96,58.33,12.17
d951f1695966e6ed0dd3bdab3db05319,2024-05-03,3594.02,0.0,12.38,55.98,12.17
21794ed61ee4b5a8960e19692ef938d7,2024-04-11,3036.94,0.0,0.0,34.32,12.5
21794ed61ee4b5a8960e19692ef938d7,2024-05-11,3036.94,0.0,0.0,34.32,12.5
6037d57c7d0c65b613835071e17904de,2024-02-29,3818.91,0.0,10.87,61.5,0.0
6037d57c7d0c65b613835071e17904de,2024-03-31,3807.87,0.0,11.04,61.33,0.0
6037d57c7d0c65b613835071e17904de,2024-05-02,3796.65,0.0,11.22,61.15,0.0
884ed1a691a6e03c3c119bc3960566d3,2024-06-07,47.96,0.0,47.25,1.43,1.77
884ed1a691a6e03c3c119bc3960566d3,2024-07-08,0.0,0.0,47.96,0.71,1.77
441097d4aa431223a03d96126fab09f3,2025-03-14,278.38,0.0,13.14,5.42,1.77
cbaedd02a5bff9eae9ee8553a303ea31,2025-03-14,65.94,0.0,1.67,1.09,0.0
cf27b0941be0f2ffc024e929bd77431c,2025-02-22,7561.44,30.58,0.08,0.0,0.0
66a85284c5e65e8530f686ef1270f470,2025-02-13,331.87,0.0,8.38,5.06,1.77
441097d4aa431223a03d96126fab09f3,2025-02-13,291.52,0.0,12.75,5.85,1.77
e9c8a530416e979ee692888616567bdc,2023-05-18,3648.35,0.0,12.18,60.74,0.0
e9c8a530416e979ee692888616567bdc,2023-01-16,3758.27,0.0,40.3,71.24,0.0
e9c8a530416e979ee692888616567bdc,2022-12-16,3798.57,0.0,36.43,0.0,0.0
e9c8a530416e979ee692888616567bdc,2023-04-17,3660.53,0.0,14.7,60.99,0.0
e9c8a530416e979ee692888616567bdc,2023-02-16,3706.67,0.0,51.6,62.37,0.0
e9c8a530416e979ee692888616567bdc,2023-03-17,3675.23,0.0,31.44,57.54,0.0
e9c8a530416e979ee692888616567bdc,2023-06-17,3635.2,0.0,13.15,58.59,0.0
e9c8a530416e979ee692888616567bdc,2023-07-20,3622.37,0.0,12.83,58.38,0.0
e9c8a530416e979ee692888616567bdc,2023-09-17,3592.76,0.0,13.01,57.9,0.0
e9c8a530416e979ee692888616567bdc,2023-08-17,3605.77,0.0,16.6,54.29,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-08-26,3738.91,0.0,47.14,60.8,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-07-23,3786.05,0.0,46.4,61.54,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-06-22,3832.45,0.0,45.66,62.28,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-05-25,3878.11,0.0,44.94,63.0,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-04-22,3923.05,0.0,44.23,63.71,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-03-23,3967.28,0.0,51.17,66.68,0.0
7555b15b73a7eab844819dc93cb2e96e,2022-12-22,4104.37,0.0,41.63,22.19,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-02-20,4018.45,0.0,43.64,67.4,0.0
7555b15b73a7eab844819dc93cb2e96e,2023-01-20,4062.09,0.0,42.28,63.71,0.0
32eb27a78b911add8c005aed4b441380,2022-12-09,1333.49,0.0,13.51,12.26,0.0
5ea27265a91f6a66bd254887f9a551eb,2025-02-01,1718.32,0.0,28.12,47.01,7.09
353086c1a1898de5786c2a56ec7fcbe7,2025-05-01,657.73,0.0,14.33,5.36,0.75
635c17ea1ce450356a96219620ce902a,2025-05-01,2879.19,0.0,69.62,26.79,3.67
353086c1a1898de5786c2a56ec7fcbe7,2025-03-31,672.06,0.0,14.22,5.47,0.75
635c17ea1ce450356a96219620ce902a,2025-03-31,2948.81,0.0,68.99,27.41,3.67
910a617bf715f075bf218a8a95eff3e1,2025-03-31,69.93,0.0,7.17,1.35,0.51
0a09c3416f1d4303b7351637bdffd632,2025-04-03,2565.4,0.0,0.0,0.06,0.0
70f97988728984f785a07ac7f4238501,2025-05-07,3247.0,0.0,11.63,52.78,12.27
f1b8d09b4b115a6b00086bcb323a2cab,2025-03-27,3770.36,0.0,20.21,34.43,3.45
70f97988728984f785a07ac7f4238501,2025-03-21,3270.08,0.0,22.36,106.46,24.54
884ed1a691a6e03c3c119bc3960566d3,2023-08-07,490.28,0.0,40.72,1.86,0.41
a5aa43b6f140787111c8f1f05e79792b,2023-08-17,3356.34,0.0,119.92,52.1,0.0
a5aa43b6f140787111c8f1f05e79792b,2023-06-17,3590.62,0.0,36.38,40.77,0.0
a5aa43b6f140787111c8f1f05e79792b,2023-07-20,3476.26,0.0,114.36,57.66,0.0
884ed1a691a6e03c3c119bc3960566d3,2023-09-07,448.95,0.0,41.33,7.35,1.77
a5aa43b6f140787111c8f1f05e79792b,2023-09-17,3319.91,0.0,36.43,53.9,0.0
6d0d329e3a0db267ff3f9afb70a955f5,2023-01-07,4946.21,0.0,50.79,71.17,14.99
6d0d329e3a0db267ff3f9afb70a955f5,2023-02-09,4894.89,0.0,51.32,86.1,16.66
6d0d329e3a0db267ff3f9afb70a955f5,2023-03-09,4842.76,0.0,52.13,77.46,16.66
5ea27265a91f6a66bd254887f9a551eb,2024-07-04,1900.32,0.0,23.35,51.78,7.09
d1f0df78a51befa42e0476657bd5b5e2,2024-06-02,0.0,0.0,362.08,5.45,0.0
0a09c3416f1d4303b7351637bdffd632,2024-07-04,3162.04,0.0,56.07,51.68,12.17
5ea27265a91f6a66bd254887f9a551eb,2024-06-03,1923.67,0.0,22.74,52.39,7.09
0a09c3416f1d4303b7351637bdffd632,2024-06-03,3218.11,0.0,55.19,52.56,12.17
cea1fac044cede17f0f31ced8fed549f,2024-08-19,174.78,0.0,0.57,0.14,0.0
cea1fac044cede17f0f31ced8fed549f,2024-08-20,174.78,0.0,0.0,2.2,0.0
d606bac68cbe04f3991fc71fd3744ff1,2024-07-11,492.86,0.0,0.81,12.15,2.66
cea1fac044cede17f0f31ced8fed549f,2024-07-15,175.35,0.0,0.67,3.52,0.71
353086c1a1898de5786c2a56ec7fcbe7,2024-08-01,782.69,0.0,13.34,6.35,0.75
cea1fac044cede17f0f31ced8fed549f,2024-08-22,174.78,0.0,0.0,1.17,0.71
d606bac68cbe04f3991fc71fd3744ff1,2024-05-11,494.46,0.0,0.77,12.19,2.66
353086c1a1898de5786c2a56ec7fcbe7,2024-05-31,809.27,0.0,13.13,6.56,0.75
353086c1a1898de5786c2a56ec7fcbe7,2024-07-01,796.03,0.0,13.24,6.45,0.75
cea1fac044cede17f0f31ced8fed549f,2024-06-14,176.56,0.54,0.01,0.0,0.0
cea1fac044cede17f0f31ced8fed549f,2024-06-18,176.02,0.0,0.54,3.53,0.71
cea1fac044cede17f0f31ced8fed549f,2024-05-16,176.57,0.0,0.54,3.54,0.71
d606bac68cbe04f3991fc71fd3744ff1,2024-06-10,493.67,0.0,0.79,12.17,2.66
f41d149f47842aac216c2461d00da625,2024-04-18,2967.13,0.0,47.93,47.71,12.4
f41d149f47842aac216c2461d00da625,2024-05-18,2918.44,0.0,48.69,46.95,12.4
45d10fadcdbdcc8c1c0c0240097ec0d7,2024-05-09,276.65,0.0,89.5,5.51,0.0
45d10fadcdbdcc8c1c0c0240097ec0d7,2024-04-07,366.15,0.0,88.17,6.83,0.0
45d10fadcdbdcc8c1c0c0240097ec0d7,2024-03-07,454.32,0.0,86.86,8.14,0.0
45d10fadcdbdcc8c1c0c0240097ec0d7,2024-02-08,541.18,0.0,85.58,9.43,0.0
f41d149f47842aac216c2461d00da625,2024-02-16,3062.25,0.0,46.45,49.2,12.4
